word,sentiment
链接,-2.463516131
帮,-1.860575381
国产手机,-2.206552393
中年人,-1.810596181
以上,-1.727516975
抽个,-1.708567091
月亮,-1.537868037
鸟,-1.777994963
听到,-2.045535046
发抖,-2.295638075
至今,-2.380114791
失败,-2.088399799
打游戏,-2.286716283
信号,-2.872988854
网络,-2.698648353
祝,-2.593680624
不看,-1.760569977
连续,-2.161952774
人民,-2.147743321
写,-2.593204528
五个,-1.883329735
阶段,-2.400845554
小伙,-1.859783936
每天,-2.746593479
一半,-2.239450449
刚好,-2.422183519
类型,-2.046657638
合作,-2.629308776
眼睛,-1.926081317
快点,-1.90621323
宣传,-1.660996778
师兄,-2.048931982
彻底,-2.318108819
几天,-1.680890214
常,-2.166024981
福利,-1.838325503
曾,-1.558179309
大米,-2.227292725
充钱,-1.610032881
核心技术,-1.614695451
买个,-2.005915337
成,-2.161181994
眼神,-2.128076168
不像,-2.593319007
哒,-1.235378886
意义,-1.60062126
一位,-2.725014394
低端,-1.865327255
滴,-2.34355715
跳,-1.837294917
放弃,-2.070845507
学生,-2.641478822
喷雷军,-1.304423081
浓密,-2.397680445
玩游戏,-1.757704393
金光闪闪,-1.751993108
爱雷军,-1.272975777
够,-1.893610871
几岁,-1.435898619
男,-1.801312729
那款,-1.532960608
不来,-2.156808338
半生,-2.763008999
活力,-2.06210597
剃须刀,-2.93448824
青,-1.905797475
送个,-1.789279949
罗,-1.412443547
脸,-2.052625144
看雷军,-1.346036969
标准,-2.28872516
实力,-1.879270836
印度,-2.169795798
手表,-2.467550346
爱笑,-2.181128932
手环,-2.037118868
看见,-1.517064758
事业,-2.618195142
怎样才能,-1.798342161
雷军赞,-1.323208939
竟然,-1.376133907
疯狂,-1.420335496
本事,-1.818109405
雷总交个,-1.35764588
购买,-2.154066976
旗舰机,-1.88231344
消息,-1.959084558
路由器,-3.292529807
一看,-0.703091859
赚钱,-1.737223676
上网,-2.89911323
没用,-2.179736293
介绍,-2.361191325
不能不,-1.315561342
一天,-2.372526326
身体,-2.842856626
右边,-1.68902029
差评,-2.044456472
好久,-1.558336595
我信,-1.505836836
雷总带,-1.192047577
自我,-1.998644202
拼,-2.911900174
带来,-1.996193023
不卡,-1.771901343
猪头,-2.111414145
级,-1.76786501
创新,-1.267020536
尴尬,-1.471817519
价,-0.757874769
棒棒,-1.526418519
鼓励,-1.950554366
价位,-1.990003351
苦,-1.85375906
路上,-2.088432966
打球,-1.799620467
员工,-1.640528088
晚上,-2.599211636
睡觉,-1.585584993
鲜肉,-1.733752569
很棒,-1.627279211
就行了,-1.556443943
宝宝,-1.457883503
香,-1.535275071
陆超,-1.508312483
来自,-2.185754548
过程,-2.600420667
昨晚,-1.888676357
更好,-1.722112792
形容,-1.713055816
官方,-2.143028166
雷总太,-0.941437168
看上去,-1.160631859
没睡,-1.633251464
不太好,-1.991198308
偷拍,-1.232084311
积木,-1.910252004
电脑,-2.086846844
哥,-1.280915223
牛皮,-0.456003099
献给,-2.052845799
书柜,-1.688182832
推出,-1.430579115
流汗,-2.005219656
兔,-2.180641159
理想,-1.504020764
存在,-2.274706689
巧克力,-1.638536754
强大,-2.268304897
发烧友,-2.140843523
办公室,-1.708174726
再也,-1.616026811
拆,-2.636455684
算不算,-1.73446474
抖,-2.483275511
恢复,-2.6648565
加个,-1.899257159
看好,-1.972194566
差不多,-1.321543266
果粉,-1.519986736
浴霸,-1.411906856
女人,-2.041547938
猴,-2.239784997
丢,-1.706272172
不断,-2.41735664
清晰,-2.117227399
版能,-1.53223551
吐血,-3.052127529
网上,-2.732140941
看不到,-1.725323236
鬼,-2.198150025
基本,-2.387359667
身边,-2.238984541
总爱,-1.104517337
移动,-2.203968936
从未,-1.454945662
缺点,-2.451946974
经常,-1.933460074
肉,-1.611498012
大概,-1.256044608
长得,-1.518059418
睡,-1.361407412
灿烂,-1.501311333
完美,-1.102874332
答案,-2.531217544
硬件,-1.781398004
部,-2.069570472
吊爆,-0.560146546
机型,-2.067901706
仰慕,-2.290287422
尤其,-2.657542971
完整版,-2.398207366
有意思,-1.509233791
雷总来,-1.067299188
绝望的凝视,-1.439163361
简单,-1.953798488
一名,-2.187853613
音响,-2.032889888
喽,-1.930936545
